Optimize a model with 1700 rows, 1098 columns and 3251 nonzeros
Coefficient statistics:
  Matrix range     [4e-06, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 1e+02]
  RHS range        [8e+01, 8e+01]
Presolve removed 1435 rows and 809 columns
Presolve time: 0.04s
Presolved: 265 rows, 289 columns, 1794 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.6373842e+04   4.120979e+03   0.000000e+00      0s
     347    1.1961861e+04   0.000000e+00   0.000000e+00      0s

Solved in 347 iterations and 0.08 seconds
Optimal objective  1.196186083e+04
('d1600539', 0.0)
('d1600540', 0.0)
('d1600541', 0.0)
('d1600542', 0.0)
('d1600543', 0.0)
('d1600544', 0.0)
('d1600545', 0.0)
('d1600546', 0.0)
('d1600547', 0.0)
('d1600548', 0.0)
('d1600549', 0.0)
('d1600550', 0.0)
('d1600551', 0.0)
('d1600552', 0.0)
('d1600553', 0.0)
('d1600554', 0.0)
('d1600555', 0.0)
('d1600556', 0.0)
('d1600557', 0.0)
('d1600558', 0.0)
('d1600559', 0.0)
('d1600560', 0.0)
('d1600561', 0.0)
('d1600562', 0.0)
('d1600563', 0.0)
('d1600564', 0.0)
('d1600565', 0.0)
('d1600566', 0.0)
('d1600567', 0.0)
('d1600568', 0.0)
('d1600569', 0.0)
('d1600570', 0.0)
('d1600571', 0.0)
('d1600572', 0.0)
('d1600573', 0.0)
('d1600574', 0.0)
('d1600575', 0.0)
('d1600576', 0.0)
('d1600577', 0.0)
('d1600578', 0.0)
('d1600579', 0.0)
('d1600580', 0.0)
('d1600581', 0.0)
('d1600582', 0.0)
('d1600583', 0.0)
('d1600584', 0.0)
('d1600585', 0.0)
('d1600586', 1.5687224033940195)
('d1600587', 2.3530836050910295)
('d1600588', 3.137444806788039)
('d1600589', 14.303975647379914)
('d1600590', 7.074587790476509)
('d1600591', 6.174722739589626)
('d1600592', 17.622918837544628)
('d1600593', 5.490528411879069)
('d1600594', 19.80049773713127)
('d1600595', 19.165554440845735)
('d1600596', 24.419141909862514)
('d1600597', 19.165554440845735)
('d1600598', 9.55068320235993)
('d1600599', 25.41854861764114)
('d1600600', 33.62494167150941)
('d1600601', 41.658090505798896)
('d1600602', 33.62494167150941)
('d1600603', 34.40930287320642)
('d1600604', 8.627973218667108)
('d1600605', 41.8159999606727)
('d1600606', 46.58731686709712)
('d1600607', 48.11274204625867)
('d1600608', 38.11470655691346)
('d1600609', 43.11710747079759)
('d1600610', 45.31090865914629)
('d1600611', 47.62668493060193)
('d1600612', 48.868690103870094)
('d1600613', 48.899196359240925)
('d1600614', 48.868690103870094)
('d1600615', 55.47329611500029)
('d1600616', 48.868690103870094)
('d1600617', 56.662946922657284)
('d1600618', 61.67292171599313)
('d1600619', 58.207760516193915)
('d1600620', 61.221771233765004)
('d1600621', 63.93152860558794)
('d1600622', 60.79729023033357)
('d1600623', 60.298851885484474)
('d1600624', 53.540125829657924)
('d1600625', 62.97203932243807)
('d1600626', 73.68371195291367)
('d1600627', 78.56442871181663)
('d1600628', 76.91003689145302)
('d1600629', 76.95309908382202)
('d1600630', 66.35274487099234)
('d1600631', 75.49799851601583)
('d1600632', 71.6558820915879)
('d1600633', 75.9358479600981)
('d1600634', 81.74891504240144)
('d1600635', 78.53813307217601)
('d1600636', 0.0)
('d1600637', 0.0)
('d1600638', 0.0)
('d1600639', 0.0)
('d1600640', 0.0)
('d1600641', 0.0)
('d1600642', 0.0)
('d1600643', 0.0)
('d1600644', 0.0)
('d1600645', 0.0)
('d1600646', 0.0)
('d1600647', 0.0)
('d1600648', 0.0)
('d1600649', 0.0)
('d1600650', 0.0)
('d1600651', 0.0)
('d1600652', 0.0)
('d1600653', 0.0)
('d1600654', 0.0)
('d1600655', 0.0)
('d1600656', 0.0)
('d1600657', 0.0)
('d1600658', 0.0)
('d1600659', 0.0)
('d1600660', 0.0)
('d1600661', 0.0)
('d1600662', 0.0)
('d1600663', 0.0)
('d1600664', 0.0)
('d1600665', 0.0)
('d1600666', 0.0)
('d1600667', 0.0)
('d1600668', 0.0)
('d1600669', 0.0)
('d1600670', 0.0)
('d1600671', 0.0)
('d1600672', 0.0)
('d1600673', 0.0)
('d1600674', 0.0)
('d1600675', 0.0)
('d1600676', 0.0)
('d1600677', 0.0)
('d1600678', 0.0)
('d1600679', 0.0)
('d1600680', 0.0)
('d1600681', 0.0)
('d1600682', 0.0)
('d1600683', 0.0)
('d1600684', 0.0)
('d1600685', 0.0)
('d1600686', 0.0)
('d1600687', 0.0)
('d1600688', 0.0)
('d1600689', 0.0)
('d1600690', 0.0)
('d1600691', 0.0)
('d1600692', 0.0)
('d1600693', 0.0)
('d1600694', 0.0)
('d1600695', 0.0)
('d1600696', 0.0)
('d1600697', 0.0)
('d1600698', 0.0)
('d1600699', 0.0)
('d1600700', 0.0)
('d1600701', 0.0)
('d1600702', 0.0)
('d1600703', 0.0)
('d1600704', 0.0)
('d1600705', 0.0)
('d1600706', 0.0)
('d1600707', 0.0)
('d1600708', 0.0)
('d1600709', 0.0)
('d1600710', 0.0)
('d1600711', 0.0)
('d1600712', 0.0)
('d1600713', 0.0)
('d1600714', 0.0)
('d1600715', 0.0)
('d1600716', 0.0)
('d1600717', 0.0)
('d1600718', 0.0)
('d1600719', 0.0)
('d1600720', 0.0)
('d1600721', 0.0)
('d1600722', 0.0)
('d1600723', 0.0)
('d1600724', 0.0)
('d1600725', 0.0)
('d1600726', 0.0)
('d1600727', 0.0)
('d1600728', 0.0)
('d1600729', 0.0)
('d1600730', 0.0)
('d1600731', 0.0)
('d1600732', 0.0)
('d1600733', 0.0)
('d1600734', 0.0)
('d1600735', 0.0)
('d1600736', 0.0)
('d1600737', 0.0)
('d1600738', 0.0)
('d1600739', 0.0)
('d1600740', 0.0)
('d1600741', 0.0)
('d1600742', 0.0)
('d1600743', 0.0)
('d1600744', 0.0)
('d1600745', 0.0)
('d1600746', 0.0)
('d1600747', 0.0)
('d1600748', 0.0)
('d1600749', 0.0)
('d1600750', 0.0)
('d1600751', 0.0)
('d1600752', 0.0)
('d1600753', 9.976167714083212)
('d1600754', 22.381259647912508)
('d1600755', 15.687224033940195)
('d1600756', 20.370045310235913)
('d1600757', 33.422896442473444)
('d1600758', 23.698594395041436)
('d1600759', 46.17472089866156)
('d1600760', 47.69874306318854)
('d1600761', 46.95908210035858)
('d1600762', 21.177752445819266)
('d1600763', 49.7270422467444)
('d1600764', 23.707654564888443)
('d1600765', 56.91724259782139)
('d1600766', 51.1440800533296)
('d1600767', 64.69567945528597)
('d1600768', 60.63410812932524)
('d1600769', 64.08220715284051)
('d1600770', 64.88867872732179)
('d1600771', 76.11418326453247)
('d1600772', 65.9262901408506)
('d1600773', 73.21941462263942)
('d1600774', 73.72860149920153)
('d1600775', 79.42591349498285)
('d1600776', 78.3379897973213)
('d1600777', 76.48696624269337)
('d1600778', 79.10705013711582)
('d1600779', 93.68539077960408)
('d1600780', 95.65805145753288)
('d1600781', 76.23310219060937)
('d1600782', 76.17819321107177)
('d1600783', 70.38732814980686)
('d1600784', 70.38732814980686)
('d1600785', 87.94267293020643)
('d1600786', 69.60296694810985)
('d1600787', 86.31308752902439)
('d1600788', 78.53887778161518)
('d1600789', 81.79014089422235)
('d1600790', 89.95557019090806)
('d1600791', 92.53045725220232)
('d1600792', 95.2311445341598)
('d1600793', 82.50587640247053)
('d1600794', 96.59432869708061)
('d1600795', 100.0)
('d1600796', 93.66150954267064)
('d1600797', 88.10446134051436)
('d1600798', 91.88326508068334)
('d1600799', 77.00310336350043)
('d1600800', 80.72730773186238)
('d1600801', 80.5952051905006)
('d1600802', 92.91879495817945)
('d1600803', 0.0)
('d1600804', 0.0)
('d1600805', 0.0)
('d1600806', 0.0)
('d1600807', 0.0)
('d1600808', 0.0)
('d1600809', 0.0)
('d1600810', 0.0)
('d1600811', 0.0)
('d1600812', 0.0)
('d1600813', 0.0)
('d1600814', 0.0)
('d1600815', 0.0)
('d1600816', 0.0)
('d1600817', 0.0)
('d1600818', 0.0)
('d1600819', 0.0)
('d1600820', 0.0)
('d1600821', 0.0)
('d1600822', 0.0)
('d1600823', 0.0)
('d1600824', 0.0)
('d1600825', 0.0)
('d1600826', 0.0)
('d1600827', 0.0)
('d1600828', 0.0)
('d1600829', 0.0)
('d1600830', 0.0)
('d1600831', 0.0)
('d1600832', 0.0)
('d1600833', 0.0)
('d1600834', 0.0)
('d1600835', 0.0)
('d1600836', 0.0)
('d1600837', 0.0)
('d1600838', 0.0)
('d1600839', 0.0)
('d1600840', 0.0)
('d1600841', 0.0)
('d1600842', 0.0)
('d1600843', 0.0)
('d1600844', 0.0)
('d1600845', 0.0)
('d1600846', 0.0)
('d1600847', 0.0)
('d1600848', 0.0)
('d1600849', 0.0)
('d1600850', 0.0)
('d1600851', 0.0)
('d1600852', 0.0)
('d1600853', 0.0)
('d1600854', 0.0)
('d1600855', 0.0)
('d1600856', 0.0)
('d1600857', 0.0)
('d1600858', 0.0)
('d1600859', 0.0)
('d1600860', 0.0)
('d1600861', 0.0)
('d1600862', 0.0)
('d1600863', 0.0)
('d1600864', 0.0)
('d1600865', 0.0)
('d1600866', 0.0)
('d1600867', 0.0)
('d1600868', 0.0)
('d1600869', 0.0)
('d1600870', 0.0)
('d1600871', 0.0)
('d1600872', 0.0)
('d1600873', 0.0)
('d1600874', 0.0)
('d1600875', 0.0)
('d1600876', 0.0)
('d1600877', 0.0)
